UNNAMED: 0_LEVEL_0,DONALD,DONALD,HILLARY,HILLARY,GARY,GARY,JILL,JILL,WRITE-INS,WRITE-INS.1,TOTAL VOTES
COUNTY,Votes,%,Votes,%,Votes,%,Votes,%,VOTES,%,VOTES
AUTAUGA,18172,72.77%,5936,23.77%,546,2.19%,105,0.42%,214,0.86%,24973
BALDWIN,72883,76.55%,18458,19.39%,2464,2.59%,456,0.48%,954,1.00%,95215
BARBOUR,5454,52.10%,4871,46.53%,93,0.89%,18,0.17%,33,0.32%,10469
BIBB,6738,76.40%,1874,21.25%,124,1.41%,17,0.19%,66,0.75%,8819
BLOUNT,22859,89.33%,2156,8.43%,338,1.32%,89,0.35%,146,0.57%,25588
BULLOCK,1140,24.20%,3530,74.95%,22,0.47%,10,0.21%,8,0.17%,4710
BUTLER,4901,56.13%,3726,42.67%,65,0.74%,13,0.15%,27,0.31%,8732
CALHOUN,32865,68.66%,13242,27.67%,1116,2.33%,262,0.55%,379,0.79%,47864
CHAMBERS,7843,56.42%,5784,41.61%,168,1.21%,44,0.32%,61,0.44%,13900
CHEROKEE,8953,83.42%,1547,14.41%,147,1.37%,26,0.24%,60,0.56%,10733
CHILTON,15081,82.10%,2911,15.85%,228,1.24%,52,0.28%,97,0.53%,18369
CHOCTAW,4106,56.31%,3109,42.64%,52,0.71%,6,0.08%,19,0.26%,7292
CLARKE,7140,54.79%,5749,44.12%,99,0.76%,17,0.13%,26,0.20%,13031
CLAY,5245,79.18%,1237,18.67%,93,1.40%,16,0.24%,33,0.50%,6624
CLEBURNE,5764,87.43%,684,10.37%,90,1.37%,20,0.30%,35,0.53%,6593
COFFEE,15875,76.44%,4221,20.33%,396,1.91%,104,0.50%,171,0.82%,20767
COLBERT,16746,67.21%,7312,29.35%,511,2.05%,107,0.43%,239,0.96%,24915
CONECUH,3420,51.94%,3080,46.77%,51,0.77%,10,0.15%,24,0.36%,6585
COOSA,3381,64.38%,1782,33.93%,53,1.01%,14,0.27%,22,0.42%,5252
COVINGTON,13267,83.23%,2387,14.97%,183,1.15%,36,0.23%,67,0.42%,15940
CRENSHAW,4513,72.01%,1664,26.55%,65,1.04%,14,0.22%,11,0.18%,6267
CULLMAN,32989,87.10%,3798,10.03%,687,1.81%,134,0.35%,265,0.70%,37873
DALE,13808,73.65%,4413,23.54%,350,1.87%,62,0.33%,116,0.62%,18749
DALLAS,5789,30.81%,12836,68.31%,96,0.51%,24,0.13%,47,0.25%,18792
DEKALB,21405,82.88%,3622,14.02%,458,1.77%,152,0.59%,189,0.73%,25826
ELMORE,27634,74.17%,8443,22.66%,738,1.98%,112,0.30%,333,0.89%,37260
ESCAMBIA,9935,66.92%,4605,31.02%,188,1.27%,37,0.25%,80,0.54%,14845
